no_mou,nama_yayasan,kepala_yayasan,nama_sekolah,nama_kepsek,provinsi_id,jenjang,awal_kerjasama,akhir_kerjasama,jenis_kerjasama,jenis_produk,pembayaran,harga_buku,jumlah_komputer,jumlah_siswa_tk,jumlah_siswa_kelas_1,jumlah_siswa_kelas_2,jumlah_siswa_kelas_3,jumlah_siswa_kelas_4,jumlah_siswa_kelas_5,jumlah_siswa_kelas_6,jumlah_siswa_kelas_7,jumlah_siswa_kelas_8,jumlah_siswa_kelas_9,jumlah_siswa_kelas_10,jumlah_siswa_kelas_11,jumlah_siswa_kelas_12,jumlah_siswa_kelas_10_smk,jumlah_siswa_kelas_11_smk,jumlah_siswa_kelas_12_smk
,FMM,,Regina Pacis Bogor,,,TK,,,,,,,,,,,,,,,,,,,,,,,
,FMM,,Regina Pacis Bogor,,,SD,,,,,,,,,160,159,147,150,168,167,,,,,,,,,
,FMM,,Regina Pacis Bogor,,,SMP,,,,,,,,,,,,,,,,,,,,,,,
,FMM,,Regina Pacis Bogor,,,SMA,,,,,,,,,,,,,,,,,,,,317,,,
,Seri Amal,,Fajar Medan,,,TK,,,,,,,,,,,,,,,,,,,,,,,
,Seri Amal,,St. Antonius Medan,,,SD,,,,,,,,,125,111,106,123,108,111,,,,,,,,,
,Seri Amal,,Cahaya,,,SMP,,,,,,,,,,,,,,,120,121,105,,,,,,
,Seri Amal,,Cahaya,,,SMA,,,,,,,,,,,,,,,,,,240,220,238,,,
,Seri Amal,,Ignatius Medan,,,TK,,,,,,,,,,,,,,,,,,,,,,,
,Seri Amal,,Ignatius Medan,,,SD,,,,,,,,,120,120,122,105,108,98,,,,,,,,,
,Seri Amal,,Ignatius Medan,,,SMP,,,,,,,,,,,,,,,100,96,63,,,,,,
,Seri Amal,,Ignatius Medan,,,SMA,,,,,,,,,,,,,,,,,,,,,,,
,Seri Amal,,St. Yoseph Sidikalang,,,SD,,,,,,,,,190,187,167,170,164,171,,,,,,,,,
,Seri Amal,,St. Paulus Sidikalang,,,SMP,,,,,,,,,,,,,,,225,225,225,,,,,,
,Seri Amal,,St. Petrus Sidikalang,,,SMA,,,,,,,,,,,,,,,,,,225,150,225,,,
,,,Notre Dame Kupang,,,TK,,,,,,,,,,,,,,,,,,,,,,,
,,,Notre Dame Kupang,,,SD,,,,,,,,,,,,,,,,,,,,,,,
